RecordId,FirstName,LastName,Sex,BirthDate,SocialSecurityNumber,PostalCode,Department,VisitReason
8f27287b-3a88-48a5-8756-803957d2b1e7,Harry,Danvers,Male,1974-09-04,251-29-2287,10754,Intensive Care Unit,Battle Injury
6c49e674-8d94-4360-a86d-070c7a550af0,Oliver,Parker,Female,1952-11-07,031-12-3583,10238,Emergency Department,Battle Injury
2535c6b2-15d2-4317-8645-3778ed2ca546,Monica,Grimm,Female,1969-10-11,460-76-4558,10828,Emergency Department,Alien Parasite Removal
3cf5c353-1413-4182-a71c-6c24c47bf2d4,Sue,Sif,Female,1974-12-06,160-28-5515,10104,Intensive Care Unit,Laser Vision Calibration
c32af0f7-8f61-4bdd-9751-614ad0fa69c5,Arthur,Drax,Female,2004-02-29,271-06-7528,10549,Intensive Care Unit,Laser Vision Calibration
5bfbe179-c4b0-4428-b9b8-e43387c3383c,Hal,Selvig,Female,2006-05-26,634-47-9460,10196,Intensive Care Unit,Power Malfunction
eda56ce3-a0ff-47d7-8d30-efe2e466d4f8,Curt,Murdock,Female,1957-02-27,877-30-1655,10389,Super Powers Rehabilitation,Routine Super Physical
bb713bb7-4c68-4cea-b84a-cbe0fd63e7f7,Harry,Mantis,Male,1983-03-19,364-27-4375,10718,Intensive Care Unit,Villain Encounter Trauma
bce8527d-cd68-42ca-813c-906d30998df4,Harry,Wagner,Male,1964-08-29,474-49-4423,10947,Surgery Department,Telepathy Headache
6423c64a-e32d-4361-9929-12d3570493f4,Bruno,Bahadir,Male,1970-07-20,843-05-5169,10410,Super Powers Rehabilitation,Cosmic Ray Exposure
5fca8a4d-4d25-483d-85d1-8a35e3d7513c,Luke,Potts,Female,1969-01-28,673-64-6483,10905,Alien Biology Department,Alien Parasite Removal
eaecfba4-8f3e-4056-a97c-f1c135a285ec,Pietro,Howlett,Male,2000-05-12,552-34-9578,10438,Cosmic Ray Treatment Center,Telepathy Headache
b564fd32-9516-497d-b989-b808c323cb4a,Danny,Howlett,Female,1958-02-26,775-07-1797,10156,Trauma Center,Laser Vision Calibration
b990488a-e5b4-4c39-9d3f-bd57b1cc3b10,Ned,Banner,Female,1984-03-27,611-60-8670,10257,Emergency Department,Cosmic Ray Exposure
298158e3-e816-4e31-94d2-616bea85c580,Cletus,Woo,Female,2007-07-04,349-15-4809,10445,Trauma Center,Routine Super Physical
25f7aa6a-0e38-45de-81d1-264684ce8749,Bruce,Storm,Female,1994-11-29,782-23-8318,10934,Intensive Care Unit,Flight Control Issue
37e4ad49-e642-450f-bff1-a1db03dc01ce,Harry,Lang,Male,1963-09-18,383-98-2647,10552,Emergency Department,Villain Encounter Trauma
024a0b91-bea0-4b52-8936-09663e25b51b,Wong,VanDyne,Male,1960-01-14,372-40-3924,10059,Surgery Department,Villain Encounter Trauma
a0cd8f52-76f7-4a90-aff9-783854e00e22,Hal,Jordan,Female,1956-03-17,780-69-2061,10131,Alien Biology Department,Battle Injury
ebed460f-62be-4cc1-bd2a-cbb5ac13c693,Kurt,Maximoff,Female,1969-01-01,553-97-3296,10730,Super Powers Rehabilitation,Laser Vision Calibration
97e624e3-dd46-4d5b-b943-4cd3786fc886,Max,Octavius,Female,1989-04-21,530-58-1983,10253,Surgery Department,Cosmic Ray Exposure
ee2a5ba2-c061-4427-8f25-e4afcc54269e,Rocket,Prince,Male,2002-10-17,226-01-1164,10724,Emergency Department,Strength Enhancement Surgery
084a0ded-7afc-43b7-b930-20c3a8bef23c,Bruce,Stark,Female,1956-05-10,527-31-4563,10685,Alien Biology Department,Strength Enhancement Surgery
3c5323f1-8c4f-4e35-b278-11eedb8fa737,Darcy,Wilson,Female,1971-10-20,805-61-6670,10194,Intensive Care Unit,Cosmic Ray Exposure
d55ef710-dc1b-495c-b861-2df5affa21d5,Curt,Valkyrie,Female,1988-01-01,421-60-0888,10689,Intensive Care Unit,Power Malfunction
ec1daa11-85a6-4050-a060-09f66dd77b85,Odin,Richards,Female,1959-10-21,255-25-3117,10549,Alien Biology Department,Alien Parasite Removal
b65d0986-a199-44fe-aaf0-8453125073f0,Sif,Drake,Female,1991-07-04,256-10-7261,10827,Intensive Care Unit,Power Malfunction
45e084dc-8f43-43dc-9741-2f66a652a0eb,Otto,Lewis,Male,1958-05-15,773-31-2725,10416,Alien Biology Department,Routine Super Physical
8665aa47-b3ea-43c1-a7d8-5d929f955049,Luke,Borson,Male,1964-10-08,389-01-6397,10271,Alien Biology Department,Flight Control Issue
