RecordId,BirthDate,FirstName,LastName,PostalCode,Sex,SocialSecurityNumber
891dda6c-961f-4154-8541-b48fe18ee620,2000-01-01,John,Doe,980,Male,123-45-6789
2f97f0f1-4617-40bd-8264-4d24a9adf20a,1951-10-22,Joe,Price,1563,Male,172-10-0983
794609a2-4f6a-4d04-bb6e-922ea1b25f8d,1992-04-26,Bryce,Wilson,52225,Male,505-66-1808
423a8d73-9923-4eff-8861-bbac5c8a03a5,1990-07-09,Rebecca,Wright,44664,Female,486-97-0814
9c536b13-9a26-4ad6-930b-a3d2f5db9ebe,1976-03-28,Renee,Black,660,Male,885-30-5364
48596752-15e5-46e4-9dd2-756ed8ab2c53,1985-07-10,Kevin,Fuentes,84781,Male,199-39-4189
310bca23-b6f2-4c1b-a851-859055ceac7c,2005-01-31,Darren,Moore,88257,Female,119-58-6811
e21240f0-274b-46c1-898f-fb2c4f48023c,,Samuel,Jones,5692,Male,475-22-8158
b501dbe3-7c06-4815-bb84-1d136c770bcc,2004-10-25,Kaitlyn,Oconnell,84411,Male,015-34-6685
6978d380-1a60-401f-b7a5-719d666e6b47,1941-07-17,Larry,Tran,71938,Female,357-01-6933
c5b2e649-741b-43fa-bf60-5a8dfa23cedf,1945-01-17,Adrienne,Johnson,14879,Male,210-95-7914
ed750dc6-d496-4b3d-b8af-2c8d1d6e06aa,1965-03-05,Luis,Wall,76954,Male,011-98-4173
ce817f76-e9c7-40b0-bd6f-9e5c7c8b3db5,1951-11-25,Eduardo,Bailey,10181,Female,619-34-6844
7bb2f0cf-516d-43e7-bd3a-3f98e321ced1,2013-09-07,Unknown,Unknown,00792,Female,192-64-6083
1fb5fa93-e3a9-4b8c-b939-f83893381f01,1990-01-22,Summer,Hart,28061,Male,427-85-6137
8fc6e5d4-0d6f-4fd6-a3aa-5c8e404ce495,2011-04-29,Miguel,Smith,07290,Male,194-07-7550
99430dca-4b68-4fad-bd30-b45cc2966922,1992-08-22,Mike,Knight IV,26122,Male,510-40-8581
c1b75a8b-926f-4d20-883f-34fce16f0388,2024-07-05,Joseph,Chaney,94069,Female,800-10-7180
b8a075d9-e72e-44a6-8945-a9ca7b338971,1989-12-30,,Taylor,34557,Male,401-35-5108
68c6637c-5f6d-4419-9024-b2de918b42a7,1987-01-31,Lucas,Taylor,86174,Male,415-21-2882
6668f7ca-c2a7-4001-86d0-6a3c6705fb8d,1950-02-24,Sherry,Cooper,96125,Female,070-62-3935
85044627-94c6-470e-a011-1d9a1ecd7678,1938-11-28,Karen,Rivera,70222,Female,897-43-9585
33de4ce7-a6e0-4287-99d5-79c59c444825,2011-09-12,Aimee,Willis,21386,Female,623-35-1467
df81ea08-f860-4b13-995c-f68ce713a010,2005-12-06,Roger,Scott,54523,Female,084-48-1301
23477fc6-baa3-4126-b7a7-5660250bb37f,1967-09-16,Alexander,Johnson,56394,Female,057-48-1348
39ce8a06-363c-4e05-ad66-09d241025d2c,1909-03-16,George,Howell,65084,Male,017-13-7040
1607e4ef-746f-41b1-891b-71b545e50280,2015-07-22,Sister Joanna,Baker,75432,Male,262-61-0918
066073b1-e5e4-417a-91b0-45ba0ffbad6d,2015-05-11,Justin,,65861,Male,661-49-5920
255ac1e7-c002-4cc4-857d-3990340af840,1994-12-28,Tammie,Morris,59279,Male,603-50-0317
411154a6-ba59-4c3a-8698-8918db1858f6,1937-02-12,Michael,Charles,22191,Female,638-73-7434
04f834bf-33cb-41fd-8a00-e9408fe08927,1939-08-11,Paul,Mills,08394,Male,822-27-1320
59094c55-98ac-4892-9d7b-ade4b6a7811c,1952-04-23,James,Rowe,55361,Male,093-83-9522
1174bffe-bef5-4531-932f-f44e7fa11a68,1971-05-28,Richard,Davis,90809,Male,117-98-0565
ff205c4a-653d-418d-abd8-e2222d8138b3,1939-04-25,Christopher,Avila,75864,Female,700-62-9557
fe71bc26-074f-4769-9309-f6892df8685a,1984-06-17,Bobby Jr,Allen,84299,Female,346-11-7991
48bf6f31-701c-49d9-ba63-2cfa134d5b81,2024-08-11,Eric,Anderson,85744,Male,179-39-6156
94b92523-50c4-41b4-9e42-8100919fcfa6,1993-01-04,Randy,Castillo,32984,M,682-77-2245
2f6827ab-4b4e-42a5-9726-116ed7139047,2017-07-02,Samuel,Baker,96489,Female,758-89-3668
0184bf78-13c2-4df8-a7f0-73afce9ab6d9,1983-03-21,Rebekah,Hunter,06729,Female,306-23-0250
9423fe99-0abe-452b-86f5-5fe8af3eeab4,1979-10-10,Glenn,Mcpherson,68776,Female,459-22-2866
47d1f224-aff9-4df6-86ad-9582db31a142,1978-05-13,Meghan,Flynn,48387,Female,168-96-5482
a2a401b4-f974-4061-ae19-b693e573110d,1982-12-05,Charles,Molina,12726,Female,733-25-7396
ea749de3-4b68-4fe7-834d-fa7639fe2957,1941-10-03,Megan,Nguyen,,Female,603-49-2250
c8b9e36d-47da-45f1-bd69-3ceeb6f297e2,2008-09-22,Stephanie,Parker,68817,Female,577-89-7731
89485fdd-7f2e-45b0-865f-b2a9b687d04a,1940-05-04,Tiffany,Rodriguez,87456,Female,314-75-5171
89325b94-84b0-49bf-9803-fb0409ad5447,1963-03-27,Jill,Mills,66717,Male,765-72-14198
03cf5ca6-0e8e-4813-9d00-9fbe5bbc274b,1948-04-14,Matthew,Jones,07153,Male,653-47-2195
e2d0a396-92d9-48d7-ad93-7a02cc85e3cc,1965-04-13,Eric,Graves,22391,Male,657-27-1063
a8bfbc44-c18b-4ac1-897c-76ee5bd00763,1937-09-01,Samantha,Vaughan,97859,Female,351-52-9788
c5213fe5-fba3-402e-9c8a-7706f34e23b3,1947-09-17,Desiree,Cain,89564,Male,462-83-7005
12e55610-3fa3-4a40-9e45-8d3e1a874f74,1944-04-09,Tiffany,Larson,40957,Female,147-20-8220
ba26dbed-493d-4856-b7ef-63215fd661a4,1991-02-04,Andrea,Sanders,99763,Male,733-18-8940
4aed716b-0fa1-46aa-8bc6-a63453b2400b,1977-05-29,Travis,Rodgers,45898,Male,767-17-0913
e4c77932-658d-4296-8922-03b158f9232b,1970-07-20,Justin,Glover,21062,Female,312-57-9652
3fd6e298-a5c2-4347-8361-12ec156b3e4a,1986-10-14,Amy,Blanchard,29134,female,085-97-0461
60afc346-c0fe-4c5a-9ff5-3c6cb9851adf,1986-09-06,Dr. Kevin III,Miller,88517,Male,738389875
5e6dd884-efb1-49c7-a14e-c07d98a85ea2,1977-06-27,Julie,Drake,62308,Female,331-25-7194
b0b50515-6964-4bb9-b6e2-bd1fc85e1c99,1963-09-02,April,Nguyen,46931,Female,127-33-6746
adf3974f-2cec-476f-a3a8-2717b17df861,1954-10-16,Jason,Freeman,35203,Female,062-90-5378
fc4d7684-dc8d-4c52-b33f-5346b9f40a45,1951-07-15,Andrew,Stokes,75740-2343,Male,594-67-7736
e25f2656-4676-4929-94ca-6a1385655bf1,1942-05-06,Mr Marcus,Foster,24281,Male,603-24-7458
dbcbe202-41c8-4db3-b215-b663a4acc589,1971-01-22,Angela,Vaughan,12144,Male,573-71-4622
7a58df5a-e3fd-4bdf-b51c-870abf3c2ae2,2008-03-18,Nicole,Terry,36772,Male,642-01-5565
24d3550c-9f3f-41a4-bcd3-a8ae2cc96668,1952-10-27,Desiree,Morris,98059,Male,550-18-7569
80f2db1d-4d89-4ee8-947e-7c3958093478,1987-09-16,Renee,Johnson,81855,Male,742-22-1971
9c2ce6b3-cabd-443a-a9c4-1f8bc9574b33,1948-10-17,Kara,Wilson,08709,Female,225-54-2308
ab79810b-02db-48fa-86e8-bc3b2496a75c,1973-03-04,Kristen,Mcclure,03899,Male,419-23-9346
3a9cd2bb-5882-46ce-b61d-352b4b7514a0,1972-05-16,Caroline,Parker,46794,Male,573-47-4222
f6f3a9fc-e832-4058-9444-c3c3683e83e8,2005-04-16,John,Hodge,89495,Male,302-92-1704
5fb8f821-07a0-48f3-9780-a43667aa91d7,1991-06-30,Gary,Solis,40642,Male,410-87-6047
d9c8039b-2a04-4143-a241-92520239c8f4,2001-10-24,Collin,Haas,72468,Female,754-62-2150
4f0b93d9-396b-4bd7-9fe7-1bd6d2d5ff48,1968-01-27,Joseph,Brown,46874,Female,849-42-3127
530ed5c7-d409-4cba-854a-a9ef160ba6bd,1952-12-28,Michael,Lee,10599,Male,897-59-6265
d712cae0-72c5-4a19-8a00-6c630efb8d0c,2020-06-02,George,Freeman,08606-2343,f,535-48-4017
c0c476cb-6612-49a3-93c4-fcdcf684db05,1971-04-01,Jacqueline,Mathews,80245,Male,467-90-8493
e1c89a87-f918-4865-8527-ddb57d3224d7,1988-04-23,Kristen,Berry,98616,Male,463-59-8053
d6cc59ac-acbf-4123-bec9-d1309b418aa8,1941-07-21,Rebecca,Garcia,15957,Female,032-65-5079
ad749e17-85a1-4ed3-bfe9-d96bb75d8bae,2020-01-12,Donna,Holland,54468,Female,833-30-2281
39e1ffc3-8733-4c8c-9814-fe65258801b0,1993-10-02,Jennifer A,Marsh,49329,Male,302-20-5782
727b04dc-86f2-430c-8716-05902b0b161f,2014-11-03,Jennifer,Williams,11506,Female,611-89-7880
8afbf78f-1986-4936-8f06-f27fe706f4ca,2001-11-08,David,Lee,49910,Male,351-63-9499
8c5b2350-d8a3-468d-a743-2fd13c8b1d5d,1979-04-26,Michael,Morgan,51220,Male,659-38-5347
4dbf4aa6-d2b1-40b2-a476-d691b829f748,2009-04-29,Christopher,Winters,89476,Male,686-80-4128
7bb1fb32-2258-45d8-9d28-7e7afce0c68e,1959-12-12,James,Patrick,91556,Female,586-16-7115
36f26055-343e-4218-a269-98861b8f7a9d,1997-08-27,Matthew,Mckinney,52722,Male,273-47-8407
dee9e1e4-acc7-4fa7-a451-674122af5f9c,1961-12-20,Brian,Howell,37913,Female,776-22-2464
a989492c-45fe-42ad-81f2-30bd3b2f64cc,1985-03-26,Charles,Garza,32930,Male,875-01-8466
